"Plot Title: site2km"
"#","Date Time, GMT-06:00","Voltage, V (LGR S/N: 21558954, SEN S/N: 21378789)","Current, mA (LGR S/N: 21558954, SEN S/N: 21378789)","Temp, °C (LGR S/N: 21558954, SEN S/N: 21549905)","RH, % (LGR S/N: 21558954, SEN S/N: 21549905)","Wind Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Gust Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Wind Direction, ø (LGR S/N: 21558954, SEN S/N: 21550055)","Pressure, mbar (LGR S/N: 21558954, SEN S/N: 21569224)"
1,11/04/23 04:58:36 PM,-0.2039,0.0000,10.003,71.737,2.67,4.01,84.2,835.250
2,11/04/23 05:08:36 PM,-0.2039,0.0000,10.089,71.212,2.67,4.34,88.4,835.050
3,11/04/23 05:18:36 PM,-0.2039,0.0000,10.167,71.249,3.01,4.68,91.3,835.050
4,11/04/23 05:28:36 PM,-0.2039,0.0000,10.030,71.164,3.01,5.01,103.9,834.950
5,11/04/23 05:38:36 PM,-0.2039,0.0000,9.864,72.204,1.67,3.34,99.7,834.950
6,11/04/23 05:48:36 PM,-0.2039,0.0000,9.681,73.295,1.00,2.00,106.7,834.950
7,11/04/23 05:58:36 PM,-0.2039,0.0000,9.526,73.997,0.67,1.34,123.5,834.850
8,11/04/23 06:08:36 PM,-0.2039,0.0000,9.440,74.177,0.33,1.34,91.3,834.850
9,11/04/23 06:18:36 PM,-0.2039,0.0000,9.212,75.215,1.00,2.34,9.8,835.050
10,11/04/23 06:28:36 PM,-0.2039,0.0000,8.708,78.141,0.67,2.00,336.9,835.050
11,11/04/23 06:38:36 PM,-0.2039,0.0000,8.617,78.662,1.34,2.34,42.1,834.850
12,11/04/23 06:48:36 PM,-0.2039,0.0000,8.137,82.954,2.00,2.67,57.6,834.550
13,11/04/23 06:58:36 PM,-0.2039,0.0000,7.697,86.552,1.34,2.00,29.5,834.550
14,11/04/23 07:08:36 PM,-0.2039,0.0000,7.609,86.896,1.00,2.00,276.6,834.950
15,11/04/23 07:18:36 PM,-0.2039,0.0000,7.319,89.380,0.67,1.34,272.4,835.050
16,11/04/23 07:28:36 PM,-0.2039,0.0000,6.949,91.528,1.34,3.01,339.7,835.050
17,11/04/23 07:38:36 PM,-0.2039,0.0000,6.703,93.704,1.34,2.34,85.6,834.950
18,11/04/23 07:48:36 PM,-0.2039,0.0000,6.571,95.831,0.67,2.00,203.6,835.350
19,11/04/23 07:58:36 PM,-0.2039,0.0000,6.604,95.280,1.00,1.67,21.1,835.150
20,11/04/23 08:08:36 PM,-0.2039,0.0000,6.526,96.762,1.67,3.01,280.8,835.350
21,11/04/23 08:18:36 PM,-0.2039,0.0000,6.561,97.095,0.67,2.67,289.2,835.450
22,11/04/23 08:28:36 PM,-0.2039,0.0000,6.370,98.032,2.34,4.01,115.1,835.050
23,11/04/23 08:38:36 PM,-0.2039,0.0000,6.341,98.276,2.67,3.67,106.7,834.550
24,11/04/23 08:48:36 PM,-0.2039,0.0000,6.378,98.315,2.34,3.67,109.5,834.550
25,11/04/23 08:58:36 PM,-0.2039,0.0000,6.290,98.436,1.67,2.67,88.4,834.550
26,11/04/23 09:08:36 PM,-0.2039,0.0000,6.180,98.604,1.67,3.01,96.9,834.450
27,11/04/23 09:18:36 PM,-0.2039,0.0000,6.030,99.142,1.00,1.67,101.1,834.250
28,11/04/23 09:28:36 PM,-0.2039,0.0000,5.971,99.390,0.33,1.00,99.7,834.150
29,11/04/23 09:38:36 PM,-0.2039,0.0000,6.016,99.733,1.34,3.67,75.8,834.050
30,11/04/23 09:48:36 PM,-0.2039,0.0000,5.890,99.934,1.34,3.01,42.1,833.850
31,11/04/23 09:58:36 PM,-0.2039,0.0000,5.939,99.997,1.67,2.67,67.4,833.850
32,11/04/23 10:08:36 PM,-0.2039,0.0000,6.054,99.997,3.01,5.01,95.5,833.750
33,11/04/23 10:18:36 PM,-0.2039,0.0000,5.974,99.997,1.34,3.01,78.6,833.650
34,11/04/23 10:28:36 PM,-0.2039,0.0000,6.094,99.997,1.00,2.00,84.2,833.950
35,11/04/23 10:38:36 PM,-0.2039,0.0000,6.413,99.528,1.34,2.67,60.4,834.050
36,11/04/23 10:48:36 PM,-0.2039,0.0000,6.432,99.211,1.34,2.34,66.0,834.150
37,11/04/23 10:58:36 PM,-0.2039,0.0000,6.443,99.280,3.01,5.34,64.6,833.850
38,11/04/23 11:08:36 PM,-0.2039,0.0000,6.512,98.778,2.67,5.34,51.9,833.750
39,11/04/23 11:18:36 PM,-0.2039,0.0000,6.483,98.914,1.67,4.01,29.5,833.850
40,11/04/23 11:28:36 PM,-0.2039,0.0000,7.212,94.714,2.00,4.34,110.9,833.750
41,11/04/23 11:38:36 PM,-0.2039,0.0000,7.724,91.916,2.00,3.67,157.2,833.750
