"Plot Title: site1km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Voltage, V (LGR S/N: 21623136, SEN S/N: 21378796)","Current, mA (LGR S/N: 21623136, SEN S/N: 21378796)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21550054)"
1,03/31/23 04:06:06 PM,1069.350,-0.2039,0.0000,1.805,68.554,3.01,3.67,263.9
2,03/31/23 04:16:06 PM,1069.350,-0.1988,0.0000,1.636,67.819,2.67,3.34,271.0
3,03/31/23 04:26:06 PM,1069.350,-0.1988,0.0000,1.585,68.605,2.67,3.67,275.2
4,03/31/23 04:36:06 PM,1069.350,-0.1988,0.0000,1.566,68.016,3.34,4.01,275.2
5,03/31/23 04:46:06 PM,1069.350,-0.2039,0.0000,1.898,67.004,3.01,4.01,279.4
6,03/31/23 04:56:06 PM,1069.350,-0.1988,0.0000,2.065,66.191,2.67,3.34,282.2
7,03/31/23 05:06:06 PM,1069.350,-0.2039,0.0000,1.965,67.868,2.34,3.34,287.8
8,03/31/23 05:16:06 PM,1069.350,-0.2039,0.0000,1.864,68.214,2.34,3.34,296.2
9,03/31/23 05:26:06 PM,1069.350,-0.2039,0.0000,1.992,67.375,2.67,3.67,306.1
10,03/31/23 05:36:06 PM,1069.350,-0.2039,0.0000,1.290,70.977,3.01,3.67,299.0
11,03/31/23 05:46:06 PM,1069.350,-0.2039,0.0000,1.617,71.014,2.34,3.01,306.1
12,03/31/23 05:56:06 PM,1069.350,-0.2039,0.0000,1.258,72.924,2.34,3.01,304.7
13,03/31/23 06:06:06 PM,1069.350,-0.2039,0.0000,1.161,74.345,2.34,3.01,314.5
14,03/31/23 06:16:06 PM,1069.350,-0.2039,0.0000,1.188,74.081,2.34,3.01,321.5
15,03/31/23 06:26:06 PM,1069.350,-0.2039,0.0000,1.255,74.084,1.67,2.34,318.7
16,03/31/23 06:36:06 PM,1069.350,-0.2039,0.0000,1.091,75.755,1.00,2.00,324.3
17,03/31/23 06:46:06 PM,1069.350,-0.1988,0.0000,0.941,75.737,1.34,2.00,328.5
18,03/31/23 06:56:06 PM,1069.350,-0.1988,0.0000,0.729,77.873,1.34,2.34,314.5
19,03/31/23 07:06:06 PM,1069.350,-0.2039,0.0000,0.378,82.564,1.34,2.00,336.9
20,03/31/23 07:16:06 PM,1069.350,-0.2039,0.0000,0.049,84.524,1.34,2.00,349.6
21,03/31/23 07:26:06 PM,1069.350,-0.2039,0.0000,0.392,83.072,0.00,0.67,345.4
22,03/31/23 07:36:06 PM,1069.350,-0.2039,0.0000,0.405,84.179,0.67,1.34,5.6
23,03/31/23 07:46:06 PM,1069.350,-0.2039,0.0000,-0.008,87.013,1.00,1.67,53.3
24,03/31/23 07:56:06 PM,1069.350,-0.2039,0.0000,-0.225,87.330,1.00,1.67,47.7
25,03/31/23 08:06:06 PM,1069.350,-0.1988,0.0000,-0.367,88.887,1.34,2.00,44.9
26,03/31/23 08:16:06 PM,1069.350,-0.2039,0.0000,-0.450,89.822,1.34,2.00,35.1
27,03/31/23 08:26:06 PM,1069.350,-0.2039,0.0000,-0.405,90.683,1.00,1.67,39.3
28,03/31/23 08:36:06 PM,1069.350,-0.2039,0.0000,-0.464,91.647,1.34,2.34,37.9
29,03/31/23 08:46:06 PM,1069.350,-0.2039,0.0000,-0.793,94.716,2.34,3.34,42.1
30,03/31/23 08:56:06 PM,1069.350,-0.2039,0.0000,-1.061,96.994,2.34,3.34,49.1
31,03/31/23 09:06:06 PM,1069.350,-0.1988,0.0000,-1.171,97.728,2.00,2.67,61.8
32,03/31/23 09:16:06 PM,1069.350,-0.2039,0.0000,-1.220,98.145,2.34,3.01,75.8
33,03/31/23 09:26:06 PM,1069.350,-0.1988,0.0000,-1.279,98.143,2.67,3.34,75.8
34,03/31/23 09:36:06 PM,1069.350,-0.2039,0.0000,-1.319,98.395,2.34,3.34,80.0
35,03/31/23 09:46:06 PM,1069.350,-0.2039,0.0000,-1.346,98.802,2.00,2.67,74.4
36,03/31/23 09:56:06 PM,1069.350,-0.1988,0.0000,-1.423,98.793,2.00,2.34,91.3
37,03/31/23 10:06:06 PM,1069.350,-0.2039,0.0000,-1.724,99.205,1.67,2.00,108.1
38,03/31/23 10:16:06 PM,1069.350,-0.2039,0.0000,-1.834,99.997,1.34,2.00,122.1
39,03/31/23 10:26:06 PM,1069.350,-0.2039,0.0000,-1.788,99.997,1.67,2.34,122.1
40,03/31/23 10:36:06 PM,1069.350,-0.2039,0.0000,-1.847,99.997,1.67,2.34,110.9
41,03/31/23 10:46:06 PM,1069.350,-0.2039,0.0000,-1.855,99.997,2.00,2.34,102.5
42,03/31/23 10:56:06 PM,1069.350,-0.1988,0.0000,-1.938,99.997,2.00,2.34,113.7
