"Plot Title: site8km"
"#","Date Time, GMT-06:00","Voltage, V (LGR S/N: 21623140, SEN S/N: 21378802)","Current, mA (LGR S/N: 21623140, SEN S/N: 21378802)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21534757)","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,03/31/23 01:25:51 PM,-0.2039,0.0000,6.35,7.35,297.6,1.644,75.320,839.550
2,03/31/23 01:35:51 PM,-0.2039,0.0000,6.35,7.35,297.6,1.646,75.419,839.450
3,03/31/23 01:45:51 PM,-0.2039,0.0000,6.01,7.01,297.6,1.770,75.503,839.250
4,03/31/23 01:55:51 PM,-0.2039,0.0000,6.35,7.68,296.2,2.078,72.540,839.050
5,03/31/23 02:05:51 PM,-0.2039,0.0000,7.01,8.35,290.6,2.038,69.377,839.150
6,03/31/23 02:15:51 PM,-0.2039,0.0000,6.68,7.68,290.6,1.898,69.851,839.250
7,03/31/23 02:25:51 PM,-0.2039,0.0000,6.35,7.68,290.6,1.939,68.540,839.250
8,03/31/23 02:35:51 PM,-0.2039,0.0000,5.68,7.35,292.0,2.051,67.736,839.350
9,03/31/23 02:45:51 PM,-0.2039,0.0000,5.34,6.35,292.0,2.011,68.417,839.450
10,03/31/23 02:55:51 PM,-0.2039,0.0000,5.01,5.68,296.2,1.909,68.499,839.350
11,03/31/23 03:05:51 PM,-0.2039,0.0000,4.34,5.01,300.4,2.006,68.528,839.250
12,03/31/23 03:15:51 PM,-0.2039,0.0000,4.01,4.68,290.6,2.132,68.162,839.350
13,03/31/23 03:25:51 PM,-0.2039,0.0000,3.67,4.68,286.4,2.207,68.597,839.450
14,03/31/23 03:35:51 PM,-0.2039,0.0000,3.34,4.01,289.2,2.041,69.857,839.550
15,03/31/23 03:45:51 PM,-0.2039,0.0000,3.01,4.01,276.6,2.834,66.900,839.550
16,03/31/23 03:55:51 PM,-0.2039,0.0000,3.01,3.67,276.6,2.630,67.158,839.650
17,03/31/23 04:05:51 PM,-0.2039,0.0000,3.34,3.67,282.2,2.437,66.621,839.650
18,03/31/23 04:15:51 PM,-0.2039,0.0000,2.67,3.34,283.6,2.507,67.312,839.650
19,03/31/23 04:25:51 PM,-0.2039,0.0000,2.34,3.01,279.4,2.561,68.064,839.750
20,03/31/23 04:35:51 PM,-0.2039,0.0000,2.34,3.01,285.0,2.389,68.725,839.750
21,03/31/23 04:45:51 PM,-0.2039,0.0000,2.34,3.34,287.8,2.327,69.163,839.750
22,03/31/23 04:55:51 PM,-0.2039,0.0000,2.34,3.01,287.8,2.563,68.652,839.650
23,03/31/23 05:05:51 PM,-0.2039,0.0000,2.34,3.34,290.6,2.604,68.978,839.650
24,03/31/23 05:15:51 PM,-0.2039,0.0000,3.01,3.67,311.7,2.614,68.841,839.350
25,03/31/23 05:25:51 PM,-0.2039,0.0000,3.34,4.34,321.5,1.923,71.765,839.450
26,03/31/23 05:35:51 PM,-0.2039,0.0000,3.34,4.01,314.5,1.724,72.914,839.650
27,03/31/23 05:45:51 PM,-0.2039,0.0000,3.34,4.01,314.5,1.545,74.334,839.750
28,03/31/23 05:55:51 PM,-0.2039,0.0000,3.34,4.01,321.5,1.502,74.633,839.750
29,03/31/23 06:05:51 PM,-0.2039,0.0000,3.01,4.01,318.7,1.145,77.102,839.850
30,03/31/23 06:15:51 PM,-0.2039,0.0000,3.01,3.34,317.3,1.027,79.414,839.950
31,03/31/23 06:25:51 PM,-0.2039,0.0000,2.34,3.01,321.5,1.156,80.121,839.950
32,03/31/23 06:35:51 PM,-0.2039,0.0000,2.67,3.01,327.1,1.070,80.427,839.950
33,03/31/23 06:45:51 PM,-0.2039,0.0000,2.34,3.01,318.7,0.973,80.603,839.950
34,03/31/23 06:55:51 PM,-0.2039,0.0000,2.34,2.67,322.9,0.931,81.709,839.950
35,03/31/23 07:05:51 PM,-0.2039,0.0000,2.67,3.34,315.9,0.898,80.766,839.950
36,03/31/23 07:15:51 PM,-0.2039,0.0000,2.34,2.67,329.9,0.545,82.965,839.850
37,03/31/23 07:25:51 PM,-0.2039,0.0000,2.00,2.34,338.3,0.368,84.726,839.850
38,03/31/23 07:35:51 PM,-0.2039,0.0000,2.00,2.67,335.5,0.274,85.542,839.850
39,03/31/23 07:45:51 PM,-0.2039,0.0000,2.00,2.67,351.0,0.196,86.386,839.850
40,03/31/23 07:55:51 PM,-0.2039,0.0000,2.67,3.34,4.2,0.038,87.462,839.850
41,03/31/23 08:05:51 PM,-0.2039,0.0000,2.67,3.34,5.6,-0.083,89.128,839.850
42,03/31/23 08:15:51 PM,-0.2039,0.0000,3.34,4.34,7.0,-0.131,90.249,839.850
43,03/31/23 08:25:51 PM,-0.2039,0.0000,3.34,4.34,5.6,-0.131,89.837,839.850
44,03/31/23 08:35:51 PM,-0.2039,0.0000,3.67,4.68,9.8,-0.195,90.530,839.850
45,03/31/23 08:45:51 PM,-0.2039,0.0000,3.34,4.34,4.2,-0.509,93.489,839.950
46,03/31/23 08:55:51 PM,-0.2039,0.0000,2.67,3.34,5.6,-0.708,96.353,839.950
47,03/31/23 09:05:51 PM,-0.2039,0.0000,1.34,2.34,36.5,-0.726,97.768,840.050
48,03/31/23 09:15:51 PM,-0.2039,0.0000,0.67,1.34,44.9,-0.705,97.073,840.150
49,03/31/23 09:25:51 PM,-0.2039,0.0000,1.00,1.67,68.8,-0.775,98.535,840.050
50,03/31/23 09:35:51 PM,-0.2039,0.0000,1.67,2.00,112.3,-0.914,99.947,840.050
51,03/31/23 09:45:51 PM,-0.2039,0.0000,2.00,2.34,117.9,-1.056,99.997,840.050
52,03/31/23 09:55:51 PM,-0.2039,0.0000,1.67,2.00,119.3,-1.238,99.997,840.150
53,03/31/23 10:05:51 PM,-0.2039,0.0000,1.34,1.67,119.3,-1.383,99.997,840.050
54,03/31/23 10:15:51 PM,-0.2039,0.0000,1.00,1.67,123.5,-1.565,99.997,840.050
55,03/31/23 10:25:51 PM,-0.2039,0.0000,1.00,1.34,129.2,-1.649,99.997,840.050
56,03/31/23 10:35:51 PM,-0.2039,0.0000,1.00,1.34,129.2,-1.686,99.997,840.050
57,03/31/23 10:45:51 PM,-0.2039,0.0000,0.67,1.00,129.2,-1.769,99.997,840.050
58,03/31/23 10:55:51 PM,-0.2039,0.0000,0.33,1.00,129.2,-1.817,99.997,839.950
59,03/31/23 11:05:51 PM,-0.2039,0.0000,0.67,1.00,129.2,-1.667,99.997,839.950
60,03/31/23 11:15:51 PM,-0.2039,0.0000,1.00,1.67,96.9,-1.600,99.997,839.850
61,03/31/23 11:25:51 PM,-0.2039,0.0000,1.34,1.67,81.4,-1.563,99.997,839.750
62,03/31/23 11:35:51 PM,-0.2039,0.0000,1.67,2.00,96.9,-1.606,99.997,839.650
63,03/31/23 11:45:51 PM,-0.2039,0.0000,1.34,1.67,105.3,-1.611,99.997,839.650
64,03/31/23 11:55:51 PM,-0.2039,0.0000,1.34,1.67,105.3,-1.622,99.997,839.550
65,04/01/23 12:05:51 AM,-0.2039,0.0000,1.34,1.67,105.3,-1.627,99.997,839.550
66,04/01/23 12:15:51 AM,-0.2039,0.0000,1.00,1.67,105.3,-1.624,99.997,839.550
67,04/01/23 12:25:51 AM,-0.2039,0.0000,1.00,1.67,102.5,-1.635,99.997,839.450
68,04/01/23 12:35:51 AM,-0.2039,0.0000,1.34,2.00,92.7,-1.665,99.997,839.450
69,04/01/23 12:45:51 AM,-0.2039,0.0000,1.67,2.34,98.3,-1.777,99.997,839.450
70,04/01/23 12:55:51 AM,-0.2039,0.0000,1.67,2.00,106.7,-1.850,99.997,839.350
71,04/01/23 01:05:51 AM,-0.2039,0.0000,1.34,1.67,101.1,-1.860,99.997,839.350
72,04/01/23 01:15:51 AM,-0.2039,0.0000,0.67,1.67,98.3,-1.957,99.997,839.250
73,04/01/23 01:25:51 AM,-0.2039,0.0000,0.00,0.67,98.3,-2.107,99.997,839.150
74,04/01/23 01:35:51 AM,-0.2039,0.0000,0.00,0.67,98.3,-2.086,99.997,839.050
75,04/01/23 01:45:51 AM,-0.2039,0.0000,0.67,1.00,98.3,-1.922,99.997,839.050
