"Plot Title: site1km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21534756)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)"
1,10/27/24 12:56:53 PM,830.650,5.01,7.35,258.3,16.722,27.417
2,10/27/24 01:06:53 PM,830.550,5.68,8.02,255.5,16.362,27.395
3,10/27/24 01:16:53 PM,830.450,4.34,7.68,259.7,16.553,27.471
4,10/27/24 01:26:53 PM,830.250,4.34,7.68,245.7,17.038,26.761
5,10/27/24 01:36:53 PM,829.950,5.68,10.35,217.6,17.094,26.030
6,10/27/24 01:46:53 PM,829.850,5.01,8.68,242.9,17.003,26.445
7,10/27/24 01:56:53 PM,829.650,6.01,9.68,242.9,16.818,26.711
8,10/27/24 02:06:53 PM,829.550,5.34,9.02,251.3,16.869,27.021
9,10/27/24 02:16:53 PM,829.450,4.68,9.02,249.9,16.899,27.065
10,10/27/24 02:26:53 PM,829.550,5.01,7.68,249.9,16.786,27.558
11,10/27/24 02:36:53 PM,829.350,5.68,8.35,254.1,16.775,27.254
12,10/27/24 02:46:53 PM,829.050,6.35,10.02,245.7,16.936,27.091
13,10/27/24 02:56:53 PM,829.050,5.68,9.68,242.9,16.877,27.335
14,10/27/24 03:06:53 PM,828.850,5.34,9.35,230.2,17.432,26.775
15,10/27/24 03:16:53 PM,828.750,6.01,9.35,234.5,16.837,27.494
16,10/27/24 03:26:53 PM,828.650,6.01,9.68,234.5,16.521,27.974
17,10/27/24 03:36:53 PM,828.550,6.01,11.02,248.5,16.842,27.686
18,10/27/24 03:46:53 PM,828.550,6.01,9.35,237.3,16.880,27.306
19,10/27/24 03:56:53 PM,828.650,4.68,9.35,249.9,16.802,27.829
20,10/27/24 04:06:53 PM,828.550,4.68,8.02,254.1,16.837,28.092
21,10/27/24 04:16:53 PM,828.550,4.01,6.35,256.9,16.869,28.266
22,10/27/24 04:26:53 PM,828.550,5.34,9.02,252.7,16.797,27.739
23,10/27/24 04:36:53 PM,828.550,5.01,8.02,262.5,16.416,28.717
24,10/27/24 04:46:53 PM,828.650,4.34,6.68,271.0,16.370,29.277
25,10/27/24 04:56:53 PM,828.750,4.34,7.35,254.1,16.263,29.691
26,10/27/24 05:06:53 PM,828.850,4.34,6.68,262.5,15.885,31.160
27,10/27/24 05:16:53 PM,828.950,4.68,7.01,263.9,15.598,32.348
28,10/27/24 05:26:53 PM,828.950,4.68,7.35,252.7,15.424,32.816
29,10/27/24 05:36:53 PM,829.050,5.01,7.35,251.3,15.118,33.391
30,10/27/24 05:46:53 PM,829.150,5.01,8.68,242.9,14.837,34.124
31,10/27/24 05:56:53 PM,829.350,4.34,7.68,233.1,14.443,35.059
32,10/27/24 06:06:53 PM,829.350,4.34,6.01,227.4,13.759,36.675
33,10/27/24 06:16:53 PM,829.350,3.01,5.01,198.0,13.129,38.515
34,10/27/24 06:26:53 PM,829.150,1.67,3.01,255.5,12.250,40.302
35,10/27/24 06:36:53 PM,829.050,1.00,1.34,251.3,10.987,42.686
36,10/27/24 06:46:53 PM,829.050,0.67,1.00,256.9,10.429,43.423
37,10/27/24 06:56:53 PM,829.250,1.34,2.00,279.4,9.960,44.910
38,10/27/24 07:06:53 PM,829.150,1.34,1.67,283.6,10.207,44.555
39,10/27/24 07:16:53 PM,829.250,1.67,2.67,262.5,10.089,45.234
40,10/27/24 07:26:53 PM,829.450,2.67,3.67,242.9,10.287,46.595
41,10/27/24 07:36:53 PM,829.450,3.01,4.01,251.3,11.054,46.155
42,10/27/24 07:46:53 PM,829.550,3.01,4.68,256.9,11.030,47.427
43,10/27/24 07:56:53 PM,829.550,3.01,4.34,255.5,10.861,48.988
44,10/27/24 08:06:53 PM,829.450,3.01,4.68,259.7,10.636,51.029
45,10/27/24 08:16:53 PM,829.450,3.34,4.68,256.9,10.218,53.248
46,10/27/24 08:26:53 PM,829.350,3.01,4.34,263.9,9.778,55.184
47,10/27/24 08:36:53 PM,829.350,3.01,4.68,265.3,9.478,57.220
48,10/27/24 08:46:53 PM,829.350,3.01,4.68,265.3,9.142,59.126
49,10/27/24 08:56:53 PM,829.450,3.34,4.68,265.3,9.070,60.954
50,10/27/24 09:06:53 PM,829.550,3.67,6.01,263.9,8.904,63.673
51,10/27/24 09:16:53 PM,829.650,5.34,10.02,259.7,8.630,68.396
52,10/27/24 09:26:53 PM,829.650,6.01,8.68,262.5,8.301,72.244
53,10/27/24 09:36:53 PM,829.550,5.34,7.35,268.1,7.925,73.808
54,10/27/24 09:46:53 PM,829.550,4.34,6.35,269.6,7.612,74.704
55,10/27/24 09:56:53 PM,829.650,4.01,5.68,268.1,7.228,75.669
56,10/27/24 10:06:53 PM,829.650,4.01,5.34,266.7,6.968,75.915
57,10/27/24 10:16:53 PM,829.450,4.01,5.34,272.4,6.711,76.568
58,10/27/24 10:26:53 PM,829.450,3.01,4.34,261.1,6.319,77.731
59,10/27/24 10:36:53 PM,829.450,2.67,4.34,299.0,6.091,78.862
60,10/27/24 10:46:53 PM,829.450,2.67,5.01,297.6,6.148,79.039
61,10/27/24 10:56:53 PM,829.550,2.34,3.67,278.0,5.697,80.404
62,10/27/24 11:06:53 PM,829.450,3.34,5.01,283.6,5.992,80.755
63,10/27/24 11:16:53 PM,829.350,3.34,5.68,285.0,6.089,80.467
64,10/27/24 11:26:53 PM,829.450,3.34,5.68,279.4,5.831,81.675
65,10/27/24 11:36:53 PM,829.450,4.01,6.35,256.9,5.979,82.864
66,10/27/24 11:46:53 PM,829.450,4.68,8.02,254.1,5.931,83.539
67,10/27/24 11:56:53 PM,829.450,5.34,8.02,254.1,5.936,84.468
68,10/28/24 12:06:53 AM,829.450,5.01,7.01,258.3,5.797,85.240
69,10/28/24 12:16:53 AM,829.450,4.68,7.35,265.3,5.569,85.196
70,10/28/24 12:26:53 AM,829.550,4.34,7.68,265.3,5.368,83.777
71,10/28/24 12:36:53 AM,829.550,4.01,6.35,266.7,5.180,81.782
72,10/28/24 12:46:53 AM,829.650,4.68,7.35,266.7,5.343,77.787
73,10/28/24 12:56:53 AM,829.850,4.01,7.35,259.7,5.134,78.479
74,10/28/24 01:06:53 AM,829.950,4.01,5.68,254.1,4.955,78.245
75,10/28/24 01:16:53 AM,829.950,4.01,7.01,266.7,4.738,77.502
76,10/28/24 01:26:53 AM,829.850,4.34,7.68,262.5,4.858,76.199
77,10/28/24 01:36:53 AM,829.750,5.01,7.35,262.5,4.721,75.462
78,10/28/24 01:46:53 AM,829.750,4.68,7.01,268.1,4.941,72.897
79,10/28/24 01:56:53 AM,829.750,3.34,5.68,271.0,4.856,71.600
80,10/28/24 02:06:53 AM,829.850,3.01,4.68,269.6,4.593,72.395
81,10/28/24 02:16:53 AM,829.750,2.34,3.34,278.0,4.609,72.114
82,10/28/24 02:26:53 AM,829.550,2.34,3.67,276.6,4.687,70.924
83,10/28/24 02:36:53 AM,829.450,2.34,4.01,275.2,4.333,70.831
84,10/28/24 02:46:53 AM,829.550,1.34,2.67,273.8,4.035,71.850
85,10/28/24 02:56:53 AM,829.150,0.67,2.00,182.5,3.939,71.919
86,10/28/24 03:06:53 AM,828.850,1.00,2.00,344.0,3.815,71.806
87,10/28/24 03:16:53 AM,828.950,1.67,2.34,268.1,2.882,73.083
88,10/28/24 03:26:53 AM,829.150,1.34,2.34,123.5,2.410,75.351
89,10/28/24 03:36:53 AM,829.050,1.67,2.34,117.9,2.644,75.259
90,10/28/24 03:46:53 AM,829.250,2.00,3.34,115.1,2.856,75.026
91,10/28/24 03:56:53 AM,829.350,1.67,3.34,103.9,3.569,74.542
92,10/28/24 04:06:53 AM,829.150,1.00,2.67,108.1,3.764,74.177
93,10/28/24 04:16:53 AM,828.850,1.34,2.00,99.7,3.850,74.591
94,10/28/24 04:26:53 AM,828.750,2.34,4.34,95.5,3.944,74.893
95,10/28/24 04:36:53 AM,828.450,2.34,3.34,105.3,3.794,75.666
96,10/28/24 04:46:53 AM,828.150,3.01,5.01,113.7,3.491,76.652
97,10/28/24 04:56:53 AM,828.150,2.67,4.34,126.4,3.362,77.685
98,10/28/24 05:06:53 AM,828.350,2.34,3.67,130.6,3.352,77.885
99,10/28/24 05:16:53 AM,828.250,3.01,4.68,130.6,3.370,78.270
100,10/28/24 05:26:53 AM,828.250,3.01,4.68,129.2,3.416,78.578
101,10/28/24 05:36:53 AM,828.350,3.67,5.68,127.8,3.343,79.088
102,10/28/24 05:46:53 AM,828.350,4.01,6.01,123.5,3.378,79.333
103,10/28/24 05:56:53 AM,828.350,3.34,5.34,124.9,3.357,79.820
104,10/28/24 06:06:53 AM,828.150,2.67,4.34,127.8,3.250,80.587
105,10/28/24 06:16:53 AM,828.150,3.01,4.68,122.1,3.153,81.158
106,10/28/24 06:26:53 AM,828.350,3.67,6.01,126.4,3.298,81.209
107,10/28/24 06:36:53 AM,828.450,3.67,6.35,122.1,3.421,81.215
108,10/28/24 06:46:53 AM,828.350,3.34,5.01,122.1,3.416,81.350
109,10/28/24 06:56:53 AM,828.350,3.34,5.34,124.9,3.287,82.249
110,10/28/24 07:06:53 AM,828.350,3.01,5.01,126.4,3.217,82.757
111,10/28/24 07:16:53 AM,828.350,3.01,4.34,132.0,3.225,82.739
112,10/28/24 07:26:53 AM,828.150,3.34,5.01,132.0,3.193,82.564
113,10/28/24 07:36:53 AM,828.150,4.01,5.34,126.4,3.075,83.250
114,10/28/24 07:46:53 AM,828.150,3.34,5.01,126.4,2.995,84.245
115,10/28/24 07:56:53 AM,828.250,3.34,5.01,126.4,2.984,84.674
116,10/28/24 08:06:53 AM,828.350,3.34,5.01,126.4,3.014,84.709
117,10/28/24 08:16:53 AM,828.150,2.67,4.01,129.2,3.099,84.219
118,10/28/24 08:26:53 AM,827.850,2.67,4.01,132.0,3.172,83.987
119,10/28/24 08:36:53 AM,827.950,2.67,4.01,127.8,3.247,83.629
120,10/28/24 08:46:53 AM,828.150,3.34,4.34,119.3,3.408,83.140
121,10/28/24 08:56:53 AM,828.150,3.01,4.34,110.9,3.531,82.774
122,10/28/24 09:06:53 AM,828.250,3.34,5.34,109.5,3.555,83.093
123,10/28/24 09:16:53 AM,828.350,3.67,5.68,110.9,3.405,85.269
124,10/28/24 09:26:53 AM,828.450,4.01,5.68,113.7,3.239,87.051
125,10/28/24 09:36:53 AM,828.550,3.67,5.68,117.9,3.276,87.010
126,10/28/24 09:46:53 AM,828.550,3.67,5.34,102.5,3.389,86.429
127,10/28/24 09:56:53 AM,828.250,3.01,4.34,99.7,3.601,85.791
128,10/28/24 10:06:53 AM,828.150,2.34,3.67,193.7,3.821,84.518
129,10/28/24 10:16:53 AM,828.350,2.34,4.01,252.7,3.633,84.807
130,10/28/24 10:26:53 AM,828.150,3.34,5.01,237.3,4.035,83.711
131,10/28/24 10:36:53 AM,828.250,4.34,7.01,238.7,4.252,82.815
132,10/28/24 10:46:53 AM,828.050,4.68,6.01,240.1,4.424,82.090
133,10/28/24 10:56:53 AM,827.650,5.01,7.01,247.1,4.998,78.743
134,10/28/24 11:06:53 AM,827.850,5.01,7.68,249.9,5.024,78.163
135,10/28/24 11:16:53 AM,828.050,5.34,7.68,258.3,4.636,79.561
136,10/28/24 11:26:53 AM,828.250,5.68,7.68,259.7,4.309,81.064
137,10/28/24 11:36:53 AM,828.150,5.01,7.01,258.3,4.319,81.367
