"Plot Title: site8km"
"#","Date Time, GMT-06:00","Voltage, V (LGR S/N: 21623140, SEN S/N: 21378802)","Current, mA (LGR S/N: 21623140, SEN S/N: 21378802)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21534757)","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,09/15/23 01:29:15 PM,-0.2039,0.0000,0.00,0.00,0.0,23.778,28.074,845.750
2,09/15/23 01:39:15 PM,-0.2039,0.0000,0.00,0.00,0.0,23.687,27.912,845.650
3,09/15/23 01:49:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.424,26.635,845.650
4,09/15/23 01:59:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.285,26.514,845.550
5,09/15/23 02:09:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.419,25.756,845.550
6,09/15/23 02:19:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.236,25.933,845.450
7,09/15/23 02:29:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.491,25.443,845.350
8,09/15/23 02:39:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.995,24.250,845.250
9,09/15/23 02:49:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.376,24.437,845.250
10,09/15/23 02:59:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.791,24.550,845.250
11,09/15/23 03:09:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.486,24.234,845.150
12,09/15/23 03:19:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.813,23.362,845.050
13,09/15/23 03:29:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.765,23.162,844.950
14,09/15/23 03:39:15 PM,-0.2039,0.0000,0.00,0.00,0.0,24.588,23.116,844.850
15,09/15/23 03:49:15 PM,-0.2039,0.0000,0.00,0.00,0.0,25.065,22.000,844.850
