"Plot Title: site2km"
"#","Date Time, GMT-06:00","Voltage, V (LGR S/N: 21558954, SEN S/N: 21378789)","Current, mA (LGR S/N: 21558954, SEN S/N: 21378789)","Temp, °C (LGR S/N: 21558954, SEN S/N: 21549905)","RH, % (LGR S/N: 21558954, SEN S/N: 21549905)","Wind Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Gust Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Wind Direction, ø (LGR S/N: 21558954, SEN S/N: 21550055)","Pressure, mbar (LGR S/N: 21558954, SEN S/N: 21569224)"
1,03/31/23 12:02:32 PM,-0.2039,0.0000,0.829,81.367,5.34,6.35,268.1,832.250
2,03/31/23 12:12:32 PM,-0.2039,0.0000,0.754,81.027,5.68,7.01,268.1,831.750
3,03/31/23 12:22:32 PM,-0.2039,0.0000,0.941,81.239,5.68,7.01,269.6,831.650
4,03/31/23 12:32:32 PM,-0.2039,0.0000,1.075,79.985,6.01,7.35,271.0,831.550
5,03/31/23 12:42:32 PM,-0.2039,0.0000,1.049,79.843,6.68,8.02,263.9,831.550
6,03/31/23 12:52:32 PM,-0.2039,0.0000,1.247,78.587,5.68,7.01,271.0,831.750
7,03/31/23 01:02:32 PM,-0.2039,0.0000,1.373,77.613,6.01,7.68,275.2,831.550
8,03/31/23 01:12:32 PM,-0.2039,0.0000,1.477,76.916,6.35,7.68,272.4,831.450
9,03/31/23 01:22:32 PM,-0.2039,0.0000,1.392,77.389,6.01,7.68,273.8,831.750
10,03/31/23 01:32:32 PM,-0.2039,0.0000,1.558,77.600,6.01,7.68,275.2,831.750
11,03/31/23 01:42:32 PM,-0.2039,0.0000,1.864,75.421,5.68,7.01,276.6,831.350
12,03/31/23 01:52:32 PM,-0.2039,0.0000,1.775,70.774,7.01,8.35,273.8,831.450
13,03/31/23 02:02:32 PM,-0.2039,0.0000,1.711,70.797,6.35,7.68,268.1,831.650
14,03/31/23 02:12:32 PM,-0.2039,0.0000,1.724,69.070,6.35,7.35,269.6,831.850
15,03/31/23 02:22:32 PM,-0.2039,0.0000,1.692,70.451,5.68,7.01,268.1,832.150
16,03/31/23 02:32:32 PM,-0.2039,0.0000,1.788,69.714,5.68,7.01,266.7,832.250
17,03/31/23 02:42:32 PM,-0.2039,0.0000,1.896,67.808,5.01,6.35,272.4,832.550
18,03/31/23 02:52:32 PM,-0.2039,0.0000,2.234,67.248,4.34,5.34,275.2,832.650
19,03/31/23 03:02:32 PM,-0.2039,0.0000,2.475,66.751,3.34,4.34,271.0,832.750
20,03/31/23 03:12:32 PM,-0.2039,0.0000,2.384,67.230,3.67,4.34,262.5,832.650
21,03/31/23 03:22:32 PM,-0.2039,0.0000,3.041,64.625,3.01,4.01,258.3,832.750
22,03/31/23 03:32:32 PM,-0.2039,0.0000,2.408,66.827,3.01,4.01,255.5,832.650
23,03/31/23 03:42:32 PM,-0.2039,0.0000,2.132,67.768,3.01,4.01,254.1,832.750
24,03/31/23 03:52:32 PM,-0.2039,0.0000,2.145,66.607,2.67,3.34,263.9,832.650
25,03/31/23 04:02:32 PM,-0.2039,0.0000,2.346,66.033,2.34,3.01,265.3,832.750
26,03/31/23 04:12:32 PM,-0.2039,0.0000,2.110,68.183,3.01,3.67,261.1,832.650
27,03/31/23 04:22:32 PM,-0.2039,0.0000,1.746,68.267,3.01,3.67,256.9,832.750
28,03/31/23 04:32:32 PM,-0.2039,0.0000,1.861,67.375,3.01,4.01,263.9,832.750
29,03/31/23 04:42:32 PM,-0.2039,0.0000,1.917,67.599,3.34,4.01,261.1,832.750
30,03/31/23 04:52:32 PM,-0.2039,0.0000,2.381,65.750,3.01,4.01,268.1,832.650
31,03/31/23 05:02:32 PM,-0.2039,0.0000,2.220,65.789,2.67,3.34,268.1,832.850
