"Plot Title: site0km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Voltage, V (LGR S/N: 21623142, SEN S/N: 21378804)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,09/15/23 11:20:08 AM,834.350,-0.1937,4.01,5.34,112.3,20.529,35.326
2,09/15/23 11:30:08 AM,834.350,-0.1937,3.67,6.01,105.3,20.411,35.601
3,09/15/23 11:40:08 AM,834.350,-0.1937,3.34,6.01,105.3,20.941,34.188
4,09/15/23 11:50:08 AM,834.350,-0.1937,3.67,5.68,96.9,20.998,34.047
5,09/15/23 12:00:08 PM,834.650,-0.1937,4.01,6.01,113.7,21.242,34.130
6,09/15/23 12:10:08 PM,835.150,-0.1937,3.34,6.35,117.9,21.199,33.974
7,09/15/23 12:20:08 PM,835.150,-0.1937,3.67,6.35,106.7,21.899,33.449
8,09/15/23 12:30:08 PM,835.150,-0.1937,3.34,6.01,106.7,22.059,32.705
9,09/15/23 12:40:08 PM,835.050,-0.1937,3.01,6.35,122.1,22.333,30.303
10,09/15/23 12:50:08 PM,835.050,-0.1937,2.67,5.01,161.5,22.234,27.941
11,09/15/23 01:00:08 PM,834.950,-0.1937,2.00,4.01,172.7,22.437,27.797
12,09/15/23 01:10:08 PM,834.850,-0.1937,2.34,4.68,110.9,22.743,27.575
13,09/15/23 01:20:08 PM,834.850,-0.1937,1.34,4.34,115.1,23.569,26.250
14,09/15/23 01:30:08 PM,834.750,-0.1937,2.67,4.68,189.5,23.250,26.877
15,09/15/23 01:40:08 PM,834.750,-0.1937,2.67,5.01,136.2,23.011,26.677
16,09/15/23 01:50:08 PM,834.650,-0.1937,2.00,4.34,124.9,23.389,24.926
17,09/15/23 02:00:08 PM,834.650,-0.1937,1.67,4.01,217.6,23.920,24.347
18,09/15/23 02:10:08 PM,834.550,-0.1937,1.67,4.34,247.1,23.762,23.680
19,09/15/23 02:20:08 PM,834.450,-0.1937,1.67,4.01,150.2,23.588,23.563
20,09/15/23 02:30:08 PM,834.350,-0.1937,1.67,3.67,230.2,24.027,22.261
21,09/15/23 02:40:08 PM,834.250,-0.1937,2.00,4.01,178.3,23.958,22.202
22,09/15/23 02:50:08 PM,834.250,-0.1937,1.34,3.34,193.7,24.888,22.029
