"Plot Title: site0km"
"#","Date Time, GMT-07:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Voltage, V (LGR S/N: 21623142, SEN S/N: 21378804)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,01/06/23 05:36:58 PM,1069.350,-0.1937,3.01,4.34,327.1,-1.466,96.114
2,01/06/23 05:46:58 PM,1069.350,-0.1937,3.01,4.34,324.3,-1.182,95.145
3,01/06/23 05:56:58 PM,1069.350,-0.1937,1.67,3.34,308.9,-1.075,93.823
4,01/06/23 06:06:58 PM,1069.350,-0.1937,1.00,2.34,95.5,-1.697,97.733
5,01/06/23 06:16:58 PM,1069.350,-0.1937,1.00,1.34,167.1,-1.506,98.357
6,01/06/23 06:26:58 PM,1069.350,-0.1937,1.34,2.00,176.9,-1.453,97.360
7,01/06/23 06:36:58 PM,1069.350,-0.1937,1.00,1.67,219.0,-1.115,93.181
8,01/06/23 06:46:58 PM,1069.350,-0.1937,1.34,2.67,199.4,-1.064,93.352
9,01/06/23 06:56:58 PM,1069.350,-0.1937,1.00,2.67,190.9,-1.163,93.465
10,01/06/23 07:06:58 PM,1069.350,-0.1937,1.34,2.34,224.6,-0.943,90.381
11,01/06/23 07:16:58 PM,1069.350,-0.1937,1.34,2.34,226.0,-0.871,89.342
12,01/06/23 07:26:58 PM,1069.350,-0.1937,1.00,2.00,230.2,-0.968,89.277
13,01/06/23 07:36:58 PM,1069.350,-0.1937,0.33,1.67,247.1,-0.863,88.553
14,01/06/23 07:46:58 PM,1069.350,-0.1937,0.67,1.67,227.4,-0.863,87.814
15,01/06/23 07:56:58 PM,1069.350,-0.1937,0.67,2.00,230.2,-0.933,88.165
16,01/06/23 08:06:58 PM,1069.350,-0.1937,1.34,2.67,248.5,-0.796,86.136
17,01/06/23 08:16:58 PM,1069.350,-0.1937,0.67,2.34,199.4,-1.203,88.933
18,01/06/23 08:26:58 PM,1069.350,-0.1937,0.67,1.67,147.4,-1.968,93.556
19,01/06/23 08:36:58 PM,1069.350,-0.1937,1.67,3.01,193.7,-1.222,91.095
20,01/06/23 08:46:58 PM,1069.350,-0.1937,2.67,4.34,193.7,-1.262,90.443
21,01/06/23 08:56:58 PM,1069.350,-0.1937,3.01,5.01,198.0,-1.321,90.260
22,01/06/23 09:06:58 PM,1069.350,-0.1937,4.01,5.68,206.4,-1.010,89.926
23,01/06/23 09:16:58 PM,1069.350,-0.1937,4.34,5.68,199.4,-1.217,90.420
24,01/06/23 09:26:58 PM,1069.350,-0.1937,4.68,5.68,196.5,-1.748,92.125
25,01/06/23 09:36:58 PM,1069.350,-0.1937,4.34,5.68,195.1,-1.584,92.154
26,01/06/23 09:46:58 PM,1069.350,-0.1937,3.01,4.68,161.5,-2.823,93.953
27,01/06/23 09:56:58 PM,1069.350,-0.1937,2.34,3.34,140.4,-2.858,94.743
28,01/06/23 10:06:58 PM,1069.350,-0.1937,2.34,2.67,120.7,-3.839,96.445
29,01/06/23 10:16:58 PM,1069.350,-0.1937,2.67,3.34,119.3,-3.927,97.101
30,01/06/23 10:26:58 PM,1069.350,-0.1937,3.01,3.67,110.9,-4.490,97.072
