"Plot Title: site8km"
"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 21623140, SEN S/N: 21378802)","Current, mA (LGR S/N: 21623140, SEN S/N: 21378802)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21534757)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21534757)","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,01/07/23 02:06:44 PM,-0.2039,0.0000,0.33,2.00,133.4,-1.976,74.347,842.950
2,01/07/23 02:16:44 PM,-0.2039,0.0000,0.00,1.00,122.1,0.794,63.827,842.550
3,01/07/23 02:26:44 PM,-0.2039,0.0000,0.33,2.00,92.7,1.185,62.237,842.350
4,01/07/23 02:36:44 PM,-0.2039,0.0000,1.00,2.00,82.8,0.791,63.940,842.350
5,01/07/23 02:46:44 PM,-0.2039,0.0000,1.00,3.34,96.9,0.547,65.330,842.550
6,01/07/23 02:56:44 PM,-0.2039,0.0000,2.00,3.34,70.2,-0.828,71.067,842.950
7,01/07/23 03:06:44 PM,-0.2039,0.0000,1.34,2.34,73.0,-0.788,71.394,842.950
8,01/07/23 03:16:44 PM,-0.2039,0.0000,2.34,4.01,82.8,-1.654,75.596,842.950
9,01/07/23 03:26:44 PM,-0.2039,0.0000,3.34,4.34,88.4,-2.362,79.884,842.850
10,01/07/23 03:36:44 PM,-0.2039,0.0000,2.67,4.34,99.7,-2.496,81.382,842.950
11,01/07/23 03:46:44 PM,-0.2039,0.0000,2.67,3.67,110.9,-2.539,81.932,842.950
12,01/07/23 03:56:44 PM,-0.2039,0.0000,2.00,3.67,133.4,-2.737,82.658,842.850
13,01/07/23 04:06:44 PM,-0.2039,0.0000,2.67,4.01,127.8,-2.783,82.589,842.650
14,01/07/23 04:16:44 PM,-0.2039,0.0000,3.34,4.68,126.4,-3.488,85.606,842.850
15,01/07/23 04:26:44 PM,-0.2039,0.0000,2.67,4.01,120.7,-3.758,86.566,842.850
16,01/07/23 04:36:44 PM,-0.2039,0.0000,1.34,3.34,108.1,-3.901,86.305,843.050
17,01/07/23 04:46:44 PM,-0.2039,0.0000,1.00,1.67,95.5,-4.343,87.280,843.150
18,01/07/23 04:56:44 PM,-0.2039,0.0000,0.00,1.00,77.2,-4.453,87.504,843.250
19,01/07/23 05:06:44 PM,-0.2039,0.0000,0.00,0.67,106.7,-4.330,88.534,843.250
20,01/07/23 05:16:44 PM,-0.2039,0.0000,0.00,1.00,67.4,-4.517,88.476,843.150
21,01/07/23 05:26:44 PM,-0.2039,0.0000,0.00,0.00,109.5,-4.590,89.508,843.250
22,01/07/23 05:36:44 PM,-0.2039,0.0000,1.00,3.67,106.7,-4.520,89.413,843.250
23,01/07/23 05:46:44 PM,-0.2039,0.0000,2.00,3.34,106.7,-4.206,87.988,843.150
24,01/07/23 05:56:44 PM,-0.2039,0.0000,0.67,2.00,124.9,-4.866,89.218,843.050
25,01/07/23 06:06:44 PM,-0.2039,0.0000,0.33,1.67,151.6,-5.096,90.153,842.950
26,01/07/23 06:16:44 PM,-0.2039,0.0000,0.67,2.34,155.8,-5.311,90.854,842.950
27,01/07/23 06:26:44 PM,-0.2039,0.0000,2.34,3.67,119.3,-4.804,90.356,842.850
28,01/07/23 06:36:44 PM,-0.2039,0.0000,3.01,4.01,116.5,-4.611,89.726,842.650
29,01/07/23 06:46:44 PM,-0.2039,0.0000,2.34,3.34,136.2,-4.927,90.750,842.650
30,01/07/23 06:56:44 PM,-0.2039,0.0000,3.01,4.68,126.4,-4.804,91.000,842.650
31,01/07/23 07:06:44 PM,-0.2039,0.0000,3.34,4.68,124.9,-4.791,90.231,842.550
32,01/07/23 07:16:44 PM,-0.2039,0.0000,3.34,4.68,123.5,-5.040,90.867,842.650
33,01/07/23 07:26:44 PM,-0.2039,0.0000,2.34,3.34,122.1,-5.767,91.939,842.550
34,01/07/23 07:36:44 PM,-0.2039,0.0000,1.34,2.34,134.8,-6.241,93.100,842.550
35,01/07/23 07:46:44 PM,-0.2039,0.0000,0.33,1.67,153.0,-6.458,93.976,842.650
36,01/07/23 07:56:44 PM,-0.2039,0.0000,0.33,1.67,148.8,-6.437,94.353,842.750
37,01/07/23 08:06:44 PM,-0.2039,0.0000,0.00,0.00,132.0,-6.579,95.035,842.650
38,01/07/23 08:16:44 PM,-0.2039,0.0000,0.33,2.00,122.1,-6.413,95.459,842.450
39,01/07/23 08:26:44 PM,-0.2039,0.0000,1.34,2.34,129.2,-6.493,94.362,842.450
40,01/07/23 08:36:44 PM,-0.2039,0.0000,1.67,3.34,119.3,-6.756,95.349,842.450
41,01/07/23 08:46:44 PM,-0.2039,0.0000,2.00,3.34,132.0,-6.858,95.283,842.350
42,01/07/23 08:56:44 PM,-0.2039,0.0000,1.67,3.34,143.2,-6.683,94.513,842.250
43,01/07/23 09:06:44 PM,-0.2039,0.0000,1.34,3.01,148.8,-6.997,95.471,842.150
44,01/07/23 09:16:44 PM,-0.2039,0.0000,0.67,1.67,186.7,-7.222,95.398,842.250
45,01/07/23 09:26:44 PM,-0.2039,0.0000,0.33,1.67,178.3,-7.413,96.168,842.250
46,01/07/23 09:36:44 PM,-0.2039,0.0000,0.00,1.00,147.4,-7.187,95.993,842.250
47,01/07/23 09:46:44 PM,-0.2039,0.0000,0.00,0.00,98.3,-7.555,97.130,842.150
48,01/07/23 09:56:44 PM,-0.2039,0.0000,0.00,1.00,124.9,-7.686,97.783,842.050
49,01/07/23 10:06:44 PM,-0.2039,0.0000,0.33,1.67,137.6,-7.981,97.490,841.950
50,01/07/23 10:16:44 PM,-0.2039,0.0000,2.34,3.67,115.1,-7.657,96.294,841.750
51,01/07/23 10:26:44 PM,-0.2039,0.0000,2.34,3.67,113.7,-7.209,94.870,841.750
52,01/07/23 10:36:44 PM,-0.2039,0.0000,1.00,2.34,169.9,-7.724,96.138,841.550
53,01/07/23 10:46:44 PM,-0.2039,0.0000,1.00,2.00,181.1,-7.726,96.455,841.450
54,01/07/23 10:56:44 PM,-0.2039,0.0000,1.00,2.67,153.0,-7.960,95.012,841.250
55,01/07/23 11:06:44 PM,-0.2039,0.0000,2.00,3.01,158.6,-8.643,95.064,841.150
56,01/07/23 11:16:44 PM,-0.2039,0.0000,2.67,5.01,144.6,-8.431,95.645,841.150
57,01/07/23 11:26:44 PM,-0.2039,0.0000,3.34,5.34,126.4,-7.354,94.447,841.050
58,01/07/23 11:36:44 PM,-0.2039,0.0000,3.67,5.01,129.2,-7.976,93.956,840.850
59,01/07/23 11:46:44 PM,-0.2039,0.0000,3.01,4.34,130.6,-8.083,94.965,840.750
60,01/07/23 11:56:44 PM,-0.2039,0.0000,3.34,5.01,123.5,-7.091,94.362,840.750
61,01/08/23 12:06:44 AM,-0.2039,0.0000,4.01,5.34,109.5,-5.708,91.830,840.750
62,01/08/23 12:16:44 AM,-0.2039,0.0000,1.67,3.34,133.4,-5.981,91.405,840.850
63,01/08/23 12:26:44 AM,-0.2039,0.0000,2.34,3.67,116.5,-5.850,91.054,840.850
64,01/08/23 12:36:44 AM,-0.2039,0.0000,2.00,2.67,124.9,-6.276,92.016,840.850
65,01/08/23 12:46:44 AM,-0.2039,0.0000,1.67,2.34,136.2,-6.383,92.412,840.750
66,01/08/23 12:56:44 AM,-0.2039,0.0000,2.00,3.34,123.5,-6.322,91.943,840.650
67,01/08/23 01:06:44 AM,-0.2039,0.0000,2.34,4.01,112.3,-6.338,91.977,840.350
68,01/08/23 01:16:44 AM,-0.2039,0.0000,2.67,3.34,92.7,-6.501,91.580,840.150
69,01/08/23 01:26:44 AM,-0.2039,0.0000,2.67,3.01,109.5,-6.678,92.045,840.050
