Count,snowDepth,Calibration,Distance Measured,Datetime,Latitude,Longitude,Altitude,Sat Count,HDOP,GGA,RMC
71,84,190,106,0000-00-00 00:00:00+0000,43.303351,-115.280825,1659.5356,31,0.5,"$GPGGA,223424.60,4318.2010681,N,11516.8495017,W,2,31,0.5,1659.5356,M,-18.2523,M,2.2,0131*4A","$GPRMC,223424.80,A,4318.2010678,N,11516.8495087,W,0.0,,060225,12.3,E,D*3F"
72,74,190,116,0000-00-00 00:00:00+0000,43.303319,-115.280835,1659.8399,31,0.5,"$GPGGA,223440.00,4318.1991385,N,11516.8500971,W,2,31,0.5,1659.8399,M,-18.2523,M,5.6,0131*45","$GPRMC,223440.20,A,4318.1991329,N,11516.8500984,W,0.0,,060225,12.3,E,D*32"
73,76,190,114,0000-00-00 00:00:00+0000,43.30328,-115.280845,1659.8787,30,0.5,"$GPGGA,223455.60,4318.1967890,N,11516.8507184,W,2,30,0.5,1659.8787,M,-18.2523,M,3.3,0131*4D","$GPRMC,223455.80,A,4318.1967988,N,11516.8507156,W,0.0,,060225,12.3,E,D*34"
74,69,190,121,2025-02-06 22:35:17+0000,43.303235,-115.280855,1660.1621,31,0.5,"$GPGGA,223516.80,4318.1940767,N,11516.8512979,W,2,31,0.5,1660.1621,M,-18.2523,M,2.6,0131*42","$GPRMC,223517.00,A,4318.1940717,N,11516.8512948,W,0.0,,060225,12.3,E,D*35"
75,73,190,117,0000-00-00 00:00:00+0000,43.303197,-115.280865,1660.0209,30,0.5,"$GPGGA,223534.60,4318.1918405,N,11516.8519134,W,2,30,0.5,1660.0209,M,-18.2524,M,2.6,0131*45","$GPRMC,223534.80,A,4318.1918378,N,11516.8519125,W,0.0,,060225,12.3,E,D*34"
76,76,190,114,0000-00-00 00:00:00+0000,43.303168,-115.280872,1659.7374,31,0.5,"$GPGGA,223549.60,4318.1900895,N,11516.8523214,W,2,31,0.5,1659.7374,M,-18.2524,M,3.2,0131*49","$GPRMC,223549.80,A,4318.1900855,N,11516.8523165,W,0.1,,060225,12.3,E,D*3F"
77,70,190,120,0000-00-00 00:00:00+0000,43.303124,-115.280878,1659.7408,30,0.5,"$GPGGA,223605.80,4318.1874567,N,11516.8526641,W,2,30,0.5,1659.7408,M,-18.2524,M,1.4,0131*46","$GPRMC,223605.80,A,4318.1874567,N,11516.8526641,W,0.1,,060225,12.3,E,D*3E"
78,75,190,115,0000-00-00 00:00:00+0000,43.303091,-115.280884,1659.5145,31,0.5,"$GPGGA,223620.40,4318.1854453,N,11516.8530353,W,2,31,0.5,1659.5145,M,-18.2524,M,10.0,0131*73","$GPRMC,223620.60,A,4318.1854439,N,11516.8530308,W,0.0,,060225,12.3,E,D*31"
79,74,190,116,0000-00-00 00:00:00+0000,43.303047,-115.28089,1659.457,31,0.5,"$GPGGA,223637.40,4318.1828244,N,11516.8534206,W,2,31,0.5,1659.4570,M,-18.2524,M,3.0,0131*4A","$GPRMC,223637.60,A,4318.1828264,N,11516.8534177,W,0.0,,060225,12.3,E,D*3C"
80,74,190,116,2025-02-06 22:37:09+0000,43.302995,-115.2809,1659.268,31,0.5,"$GPGGA,223708.80,4318.1797106,N,11516.8540022,W,2,31,0.5,1659.2680,M,-18.2524,M,4.4,0131*4B","$GPRMC,223709.00,A,4318.1797089,N,11516.8539960,W,0.0,,060225,12.3,E,D*3F"
81,76,190,114,0000-00-00 00:00:00+0000,43.302971,-115.280905,1659.1993,31,0.5,"$GPGGA,223751.60,4318.1782468,N,11516.8542851,W,2,31,0.5,1659.1993,M,-18.2524,M,5.2,0131*47","$GPRMC,223751.80,A,4318.1782494,N,11516.8542853,W,0.0,,060225,12.3,E,D*3B"
